snapshot_date,brand,market,source_url,url,home_key,community,address,lot,plan,status,price,prior_price,sqft,beds,baths,garage,incentive_text,raw_text,qa_flag
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/4616-floral-fields-way-mckinney-tx-75071/,e74f117ff026008961,Eliana,"4616 Floral Fields Way McKinney, TX 75071",Lot 1,,Quick Move-in,799900,,,3.0,,,,"Quick Move-in Homes | Choose from select Southgate homes currently under construction or available now for a quicker move-in. | Bennett | Ready September | 4616 Floral Fields Way | McKinney, TX 75071 | 60' Wide Lot | 2,958 Sq. Ft. | 1 Story | 3 Beds | 3 Car Garage | 3 & 1 Half Baths | Lot 1 | $799,900 | View Listing | Madison II | Ready September",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/8729-porch-place-mckinney-tx-75071/,0178075250485bcbe0,Eliana,"8729 Porch Place McKinney, TX 75071",Lot 40,,Ready September,1099900,,,5.0,,,,"Madison II | Ready September | 8729 Porch Place | McKinney, TX 75071 | 60' Wide Lot | 4,470 Sq. Ft. | 2 Stories | 5 Beds | 3 Car Garage | 5 & 1 Half Baths | Lot 40 | $1,099,900 | View Listing | Addison III | Ready October",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/4624-floral-fields-way-mckinney-tx-75071/,01f670877b783b4653,Eliana,"4624 Floral Fields Way McKinney, TX 75071",Lot 2,,Ready October,1049900,,,5.0,,,,"Addison III | Ready October | 4624 Floral Fields Way | McKinney, TX 75071 | 60' Wide Lot | 4,182 Sq. Ft. | 2 Stories | 5 Beds | 3 Car Garage | 5 & 1 Half Baths | Lot 2 | $1,049,900 | View Listing | Connor | Ready October",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/4628-floral-fields-way-mckinney-tx-75071/,eee8d7952ad0ef3fb8,Eliana,"4628 Floral Fields Way McKinney, TX 75071",Lot 3,,Ready October,799900,,,3.0,,,,"Connor | Ready October | 4628 Floral Fields Way | McKinney, TX 75071 | 60' Wide Lot | 2,996 Sq. Ft. | 1 Story | 3 Beds | 3 Car Garage | 3 & 1 Half Baths | Lot 3 | $799,900 | View Listing | Stella | Ready November",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/8733-porch-place-mckinney-tx-75071/,01ce276bddc39ac7f3,Eliana,"8733 Porch Place McKinney, TX 75071",Lot 39,,Ready November,1094900,,,5.0,5.0,,,"Stella | Ready November | 8733 Porch Place | McKinney, TX 75071 | 60' Wide Lot | 4,170 Sq. Ft. | 2 Stories | 5 Beds | 3 Car Garage | 5 Baths | Lot 39 | $1,094,900 | View Listing | Ashland III | Ready November",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/8728-porch-place-mckinney-tx-75071/,db3c508131e6fa8c0a,Eliana,"8728 Porch Place McKinney, TX 75071",Lot 34,,Ready November,1024900,,,5.0,,,,"Ashland III | Ready November | 8728 Porch Place | McKinney, TX 75071 | 60' Wide Lot | 4,015 Sq. Ft. | 2 Stories | 5 Beds | 3 Car Garage | 5 & 1 Half Baths | Lot 34 | $1,024,900 | View Listing | Brenham III | Ready November",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/4621-glowing-meadow-drive-mckinney-tx-75071/,9cb98590473c67591f,Eliana,"4621 Glowing Meadow Drive McKinney, TX 75071",Lot 16,,Ready November,1049964,,,4.0,4.0,,,"Brenham III | Ready November | 4621 Glowing Meadow Drive | McKinney, TX 75071 | 60' Wide Lot | 3,800 Sq. Ft. | 2 Stories | 4 Beds | 3 Car Garage | 4 Baths | Lot 16 | $1,049,964 | View Listing | Bennett | Ready December",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/4709-glowing-meadow-drive-mckinney-tx-75071/,5482e8ae07d26cfce5,Eliana,"4709 Glowing Meadow Drive McKinney, TX 75071",Lot 9,,Ready December,868271,,,3.0,,,,"Bennett | Ready December | 4709 Glowing Meadow Drive | McKinney, TX 75071 | 60' Wide Lot | 2,928 Sq. Ft. | 1 Story | 3 Beds | 3 Car Garage | 3 & 1 Half Baths | Lot 9 | $868,271 | View Listing | Griffin V | Ready December",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/8716-carnation-court-mckinney-tx-75071/,dfc2940f85a021f866,Eliana,"8716 Carnation Court McKinney, TX 75071",Lot 41,,Ready December,947284,,,4.0,4.0,,,"Griffin V | Ready December | 8716 Carnation Court | McKinney, TX 75071 | 60' Wide Lot | 3,398 Sq. Ft. | 1.5 Stories | 4 Beds | 3 Car Garage | 4 Baths | Lot 41 | $947,284 | View Listing | Addison III | Ready January",
2026-09-05,Southgate Homes,DFW,https://southgatehomes.com/communities/eliana/,https://southgatehomes.com/communities/eliana/8605-texas-crescent-way-mckinney-tx-75071/,0504c582b909d1fc32,Eliana,"8605 TX Crescent Way McKinney, TX 75071",Lot 26,,Ready January,1111952,,,5.0,,,,"Addison III | Ready January | 8605 Texas Crescent Way | McKinney, TX 75071 | 60' Wide Lot | 4,199 Sq. Ft. | 2 Stories | 5 Beds | 3 Car Garage | 5 & 1 Half Baths | Lot 26 | $1,111,952 | View Listing | Reese IV | Ready January",
